date,year,month,day
2020-01-02T00:00:00.000+01:00,2020,1,2
2020-01-03T00:00:00.000+01:00,2020,1,3
2020-01-06T00:00:00.000+01:00,2020,1,6
2020-01-07T00:00:00.000+01:00,2020,1,7
2020-01-08T00:00:00.000+01:00,2020,1,8
2020-01-09T00:00:00.000+01:00,2020,1,9
2020-01-10T00:00:00.000+01:00,2020,1,10
2020-01-11T00:00:00.000+01:00,2020,1,11
2020-01-13T00:00:00.000+01:00,2020,1,13
2020-01-14T00:00:00.000+01:00,2020,1,14
2020-01-15T00:00:00.000+01:00,2020,1,15
2020-01-16T00:00:00.000+01:00,2020,1,16
2020-01-17T00:00:00.000+01:00,2020,1,17
2020-01-18T00:00:00.000+01:00,2020,1,18
2020-01-21T00:00:00.000+01:00,2020,1,21
2020-01-22T00:00:00.000+01:00,2020,1,22
2020-01-23T00:00:00.000+01:00,2020,1,23
2020-01-24T00:00:00.000+01:00,2020,1,24
2020-01-25T00:00:00.000+01:00,2020,1,25
2020-01-27T00:00:00.000+01:00,2020,1,27
2020-01-28T00:00:00.000+01:00,2020,1,28
2020-01-31T00:00:00.000+01:00,2020,1,31
2020-02-04T00:00:00.000+01:00,2020,2,4
2020-02-05T00:00:00.000+01:00,2020,2,5
2020-02-06T00:00:00.000+01:00,2020,2,6
2020-02-07T00:00:00.000+01:00,2020,2,7
2020-02-10T00:00:00.000+01:00,2020,2,10
2020-02-11T00:00:00.000+01:00,2020,2,11
2020-02-12T00:00:00.000+01:00,2020,2,12
2020-02-13T00:00:00.000+01:00,2020,2,13
2020-02-14T00:00:00.000+01:00,2020,2,14
2020-02-17T00:00:00.000+01:00,2020,2,17
2020-02-18T00:00:00.000+01:00,2020,2,18
2020-02-19T00:00:00.000+01:00,2020,2,19
2020-02-21T00:00:00.000+01:00,2020,2,21
2020-02-23T00:00:00.000+01:00,2020,2,23
2020-02-24T00:00:00.000+01:00,2020,2,24
2020-02-25T00:00:00.000+01:00,2020,2,25
2020-02-26T00:00:00.000+01:00,2020,2,26
2020-02-27T00:00:00.000+01:00,2020,2,27
2020-03-02T00:00:00.000+01:00,2020,3,2
2020-03-03T00:00:00.000+01:00,2020,3,3
2020-03-04T00:00:00.000+01:00,2020,3,4
2020-03-05T00:00:00.000+01:00,2020,3,5
2020-03-06T00:00:00.000+01:00,2020,3,6
2020-03-09T00:00:00.000+01:00,2020,3,9
2020-03-10T00:00:00.000+01:00,2020,3,10
2020-03-11T00:00:00.000+01:00,2020,3,11
2020-03-12T00:00:00.000+01:00,2020,3,12
2020-03-13T00:00:00.000+01:00,2020,3,13
2020-03-14T00:00:00.000+01:00,2020,3,14
2020-03-16T00:00:00.000+01:00,2020,3,16
2020-03-17T00:00:00.000+01:00,2020,3,17
2020-03-18T00:00:00.000+01:00,2020,3,18
2020-03-19T00:00:00.000+01:00,2020,3,19
2020-03-20T00:00:00.000+01:00,2020,3,20
2020-03-21T00:00:00.000+01:00,2020,3,21
